context_id,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write)
4c6g_64-1000000-4-oltp_read_write_5-0.2,36.28916979959982,95.36316104740614,28880.81818181818,1546.937158229494,64.48201846179425,378.849248809474,378.8601580094806,7197.135694759868,681.6744633768935,1301.4366678362933,5246.58648753802
4c6g_64-1000000-4-oltp_read_write_5-0.6,36.36699360920923,95.83147293236452,31586.90909090909,1753.190909090909,65.54000000046058,429.36727272727273,429.3709090909091,8162.905454545455,772.6400000000001,1289.4418181818182,5320.98
4c6g_64-1000000-4-oltp_read_write_5-1.0,36.45053187936821,97.94966260559018,39722.545454545456,3851.505454545455,69.90545454553582,939.9672727272726,939.9290909090907,18061.412727272727,1703.34,1033.938181818182,5002.203636363637
4c6g_64-1000000-4-oltp_read_write_50-0.2,35.69740764687682,92.06781236344938,15607.09090909091,1865.8345454545452,63.74000000005419,248.5890909090909,248.59454545454545,26347.18,372.8872727272728,2180.929090909091,4354.863636363636
4c6g_64-1000000-4-oltp_read_write_50-0.6,35.769046743453934,93.98355696753345,17332.363636363636,2412.6418181818185,65.87636363506317,321.49454545454546,321.4981818181818,34076.08363636363,482.22909090909087,2101.4036363636365,4348.323636363636
4c6g_64-1000000-4-oltp_read_write_50-1.0,35.8375845546703,97.41756355934446,22843.90909090909,4594.330909090909,70.69454545459963,612.3745454545455,612.3763636363636,64912.54727272727,918.541818181818,1363.5218181818182,4494.427272727273
4c6g_64-1000000-4-oltp_read_write_80-0.2,36.23825157507795,91.217876751559,10571.545454545454,2998.9690909090914,70.0545454567129,136.25636363636363,136.26000000000002,57085.01636363636,272.5163636363637,3284.5581818181818,2840.0436363636363
4c6g_64-1000000-4-oltp_read_write_80-0.6,36.30442026619148,92.25105325295442,11471.181818181818,3275.038181818182,70.26545454493977,148.79636363636362,148.80181818181816,62345.8709090909,297.5872727272727,3050.287272727273,3064.414545454545
4c6g_64-1000000-4-oltp_read_write_80-1.0,36.28449108502486,96.82471167994504,11900.545454545454,5450.0,69.11636363714933,247.6709090909091,247.67454545454547,103772.14545454546,495.3345454545455,1679.709090909091,3626.361818181818
4c6g_64-1000000-4-oltp_read_write_95-0.2,36.22372136861807,84.4165460241012,6984.545454545455,4902.858181818182,80.63626250302292,59.05272727272728,59.05272727272728,28346.874545454542,118.10909090909092,4826.950962985052,1298.9087508886898
4c6g_64-1000000-4-oltp_read_write_95-0.6,35.86768071356469,86.07096570298141,7679.818181818182,5467.04,80.89272727343169,65.8509090909091,65.8509090909091,31606.967272727277,131.69454545454545,4591.938181818182,1544.1181818181817
4c6g_64-1000000-4-oltp_read_write_95-1.0,36.12344449109931,93.99058229246911,8069.090909090909,10386.58,82.19454545459963,125.1218181818182,125.1181818181818,60058.03636363637,250.24545454545455,2693.998181818182,1929.2018181818185
4c6g_64-1000000-4-oltp_write_only-0.2,35.191070726806764,96.0575802887122,29986.18181818182,1386.9036363636365,54.5472727262161,230.92363636363635,230.92545454545453,692.7690909090909,461.83272727272725,982.3036363636364,4848.165454545455
4c6g_64-1000000-4-oltp_write_only-0.6,35.19109453705905,97.2961119888286,34128.09090909091,1795.5890909090908,55.92727272754366,299.0272727272728,299.0236363636364,897.1054545454546,598.0545454545455,884.3618181818182,4954.921818181818
4c6g_64-1000000-4-oltp_write_only-1.0,35.166558072074345,98.68196998194765,22811.90909090909,2666.827272727273,51.42795566265965,444.2036363636364,444.2127272727273,1332.7,888.4054545454546,498.6604470160297,4677.713837469292
88c190g_10-4-4-tpcc-nan,2.510107981748485,96.31002365900808,18357.36363636364,5127.467272727273,37.5472727262161,76.71636363636364,1019.0581818181818,30660.94,2020.523636363636,1998.0890909090908,6758.84
88c190g_100-4-4-tpcc-nan,2.501174979917545,89.6729794831167,14782.181818181818,2652.085454545455,37.29090909118002,39.74363636363636,527.7927272727273,4531.1618181818185,1043.590909090909,3550.072727272728,5028.110909090909
88c190g_64-1000000-4-oltp_read_write_20-0.2,2.5280552534199785,95.00609881200802,23920.18181818182,2464.3018181818184,34.61999999968843,615.6981818181819,615.6999999999999,32478.456363636364,615.7636363636364,2273.690909090909,7159.996363636365
88c190g_64-1000000-4-oltp_read_write_20-0.6,2.550551127059929,95.74908605527833,26242.36363636364,2734.912727272728,31.625454546037044,683.3672727272727,683.3672727272727,36047.62545454546,683.3418181818182,2176.0327272727272,7255.487272727273
88c190g_64-1000000-4-oltp_read_write_20-1.0,2.558613320879002,98.08288684886816,33129.72727272727,5685.390909090909,38.01090909201991,1420.8527272727272,1420.8490909090908,74967.10545454545,1421.141818181818,1606.0963636363638,7858.692727272727
88c190g_64-1000000-4-oltp_read_write_5-0.2,2.561209084047036,95.20918566909214,28749.454545454544,2317.658181818182,35.33454545451836,567.7690909090909,567.7727272727273,10784.092727272728,1021.8145454545454,1957.02,7946.625454545455
88c190g_64-1000000-4-oltp_read_write_5-0.6,2.557406518704389,95.94681466428898,32336.454545454544,2629.914545454545,34.39272727410901,644.2381818181818,644.2381818181818,12241.930909090908,1159.6163636363638,1875.469090909091,8009.265454545454
88c190g_64-1000000-4-oltp_read_write_5-1.0,2.56785029098279,98.06364162437517,40359.72727272727,5699.62,38.80181818319993,1391.0236363636363,1391.0218181818182,26739.51636363636,2521.716363636364,1486.6636363636362,8237.554545454546
